mnras_row,mnras_ra,mnras_dec,tile_id,matched,sep_arcsec,src_id,gate_result,gate_failures,eliminating_stage,rejection_reason
4285,309.969000,43.280315,tile_RA310.137_DECp43.499,True,0.152,tile_RA310.137_DECp43.499:2772,GATE_PASS,,S0M,fwhm_ratio=1.502>1.5;spread_snr=15.4>5.0
4187,311.982670,48.780670,tile_RA312.695_DECp48.572,False,62.76,,NO_MATCH,,,"circle_cut (dist_from_center=30.87' pre_sep=0.72"")"
4192,312.109560,48.773670,tile_RA312.695_DECp48.572,True,0.607,tile_RA312.695_DECp48.572:15234,GATE_PASS,,S4S,elongation=1.240>1.1;circularity=0.354<0.8
4047,313.287400,54.045730,tile_RA312.825_DECp53.561,False,202.93,,NO_MATCH,,,"circle_cut (dist_from_center=33.38' pre_sep=0.46"")"
4445,314.159850,42.179790,tile_RA313.628_DECp42.577,False,211.46,,NO_MATCH,,,"circle_cut (dist_from_center=33.52' pre_sep=0.35"")"
4260,314.801120,48.828260,tile_RA314.207_DECp48.572,True,0.394,tile_RA314.207_DECp48.572:17297,GATE_FAIL,FLAGS==0,,
4231,313.889920,49.095276,tile_RA314.207_DECp49.572,False,75.41,,NO_MATCH,,,"circle_cut (dist_from_center=31.17' pre_sep=0.51"")"
4233,314.912380,49.935284,tile_RA314.207_DECp49.572,False,302.58,,NO_MATCH,,,"circle_cut (dist_from_center=34.97' pre_sep=0.21"")"
4124,314.159900,52.483562,tile_RA314.550_DECp52.561,True,0.196,tile_RA314.550_DECp52.561:2329,GATE_FAIL,SNR_WIN>30,,
4159,314.936500,52.191032,tile_RA314.550_DECp52.561,True,0.084,tile_RA314.550_DECp52.561:910,GATE_FAIL,ELONG<1.3,,
3689,314.549220,67.531020,tile_RA315.010_DECp67.543,True,0.469,tile_RA315.010_DECp67.543:4374,GATE_FAIL,FLAGS==0,,
4541,316.477260,40.742596,tile_RA316.344_DECp40.577,True,0.517,tile_RA316.344_DECp40.577:15356,GATE_FAIL,SPREAD>-0.002,,
4329,317.977800,49.793194,tile_RA317.229_DECp49.572,False,123.41,,NO_MATCH,,,"circle_cut (dist_from_center=31.96' pre_sep=0.75"")"
4386,318.725700,48.882360,tile_RA318.740_DECp48.572,True,0.812,tile_RA318.740_DECp48.572:20857,GATE_FAIL,SPREAD>-0.002,,
4474,321.881740,48.297520,tile_RA321.292_DECp48.650,False,96.57,,NO_MATCH,,,"circle_cut (dist_from_center=31.58' pre_sep=0.47"")"
3970,322.985500,61.827730,tile_RA321.975_DECp61.614,False,127.66,,NO_MATCH,,,"circle_cut (dist_from_center=31.46' pre_sep=0.55"")"
4202,322.802250,55.931416,tile_RA322.461_DECp55.650,True,0.147,tile_RA322.461_DECp55.650:11636,GATE_FAIL,SNR_WIN>30;ELONG<1.3;SPREAD>-0.002,,
3817,323.961760,66.610800,tile_RA323.287_DECp66.665,True,0.217,tile_RA323.287_DECp66.665:3769,GATE_FAIL,ELONG<1.3;SPREAD>-0.002,,
4625,324.235020,44.493920,tile_RA323.917_DECp44.646,True,0.514,tile_RA323.917_DECp44.646:8199,GATE_FAIL,SNR_WIN>30;ELONG<1.3;SPREAD>-0.002,,
4706,325.267880,42.361958,tile_RA325.276_DECp42.646,True,0.279,tile_RA325.276_DECp42.646:4322,GATE_PASS,,S4S,profile_diff=0.1261>0.05;elongation=1.111>1.1
4671,325.339720,44.124413,tile_RA325.276_DECp43.646,True,0.820,tile_RA325.276_DECp43.646:18465,GATE_FAIL,FLAGS==0,,
3899,328.010130,65.462260,tile_RA328.336_DECp65.665,True,0.768,tile_RA328.336_DECp65.665:4428,GATE_FAIL,SNR_WIN>30,,
4756,328.684700,42.759174,tile_RA328.776_DECp42.704,True,0.158,tile_RA328.776_DECp42.704:9477,GATE_FAIL,SPREAD>-0.002,,
