src_id,ra,dec,has_gsc_match,best_sep_arcsec,gsc2_id,source_chunk
tile_RA0.353_DECp48.807:1371,0.8365021709,48.4507641216,1,4.727798,NAH5008145,stage_S4S_SHAPE.csv
tile_RA0.353_DECp48.807:3225,0.853942533,48.6355599176,0,,,stage_S4S_SHAPE.csv
tile_RA10.507_DECp46.796:2757,10.5048009109,46.6721550759,0,,,stage_S4S_SHAPE.csv
tile_RA10.507_DECp49.796:4637,10.4172676648,49.7671922538,0,,,stage_S4S_SHAPE.csv
tile_RA103.237_DECp47.813:2275,103.826748727,47.6785986948,1,4.858411,N8Q4016219,stage_S4S_SHAPE.csv
tile_RA104.726_DECp49.813:5435,105.3151734436,49.8486249293,0,,,stage_S4S_SHAPE.csv
tile_RA106.215_DECp47.813:1112,105.8595842401,47.5255604457,1,4.800567,N8Q7001875,stage_S4S_SHAPE.csv
tile_RA107.704_DECp47.813:1244,107.6486901964,47.5544028214,1,4.273974,N8Q1016141,stage_S4S_SHAPE.csv
tile_RA111.699_DECp46.700:1926,111.5335961503,47.1039249691,1,3.631051,N8V3005703,stage_S4S_SHAPE.csv
tile_RA111.699_DECp48.700:1122,111.412132526,48.4708354029,0,,,stage_S4S_SHAPE.csv
tile_RA111.699_DECp48.700:3576,111.8130519466,48.7508721183,0,,,stage_S4S_SHAPE.csv
tile_RA113.185_DECp46.700:3145,112.7709951622,46.8455744843,1,1.083483,N8V0068341,stage_S4S_SHAPE.csv
tile_RA116.156_DECp47.700:2970,115.9765975614,47.8294565553,0,,,stage_S4S_SHAPE.csv
tile_RA121.625_DECp45.593:2186,120.99565541,45.6848281056,1,4.791792,N8TN011214,stage_S4S_SHAPE.csv
tile_RA123.108_DECp48.593:1893,122.9822835516,48.7697095037,0,,,stage_S4S_SHAPE.csv
tile_RA124.591_DECp47.593:1540,124.7452550425,47.908057407,0,,,stage_S4S_SHAPE.csv
tile_RA128.570_DECp47.494:412,128.1760800244,47.1287854639,0,,,stage_S4S_SHAPE.csv
tile_RA128.570_DECp48.494:822,128.7367658744,48.2910938416,0,,,stage_S4S_SHAPE.csv
tile_RA130.050_DECp45.494:93,130.0390319926,45.0246308121,0,,,stage_S4S_SHAPE.csv
tile_RA130.050_DECp45.494:557,130.3711998499,45.2259844725,1,4.976644,N9CQ011069,stage_S4S_SHAPE.csv
tile_RA130.050_DECp45.494:915,129.9459433029,45.3680744165,0,,,stage_S4S_SHAPE.csv
tile_RA130.050_DECp45.494:2117,129.4964963808,45.6300091439,0,,,stage_S4S_SHAPE.csv
tile_RA130.050_DECp48.494:451,130.2958267418,48.1661350591,0,,,stage_S4S_SHAPE.csv
tile_RA130.050_DECp48.494:1506,130.3637932119,48.8115240216,1,4.814991,N9C4014016,stage_S4S_SHAPE.csv
tile_RA131.530_DECp46.494:253,131.6713395373,46.0896068577,1,4.230962,N9DN009077,stage_S4S_SHAPE.csv
tile_RA131.530_DECp46.494:1709,131.7632107569,46.7710516683,0,,,stage_S4S_SHAPE.csv
tile_RA138.459_DECp45.407:946,138.887290529,45.3075986959,0,,,stage_S4S_SHAPE.csv
tile_RA138.459_DECp46.407:468,137.9348814419,46.1967320208,0,,,stage_S4S_SHAPE.csv
tile_RA138.459_DECp47.407:252,138.9671270654,47.068290124,0,,,stage_S4S_SHAPE.csv
tile_RA139.937_DECp47.407:1072,140.2983452224,47.6695068488,1,4.168794,N9C8002125,stage_S4S_SHAPE.csv
tile_RA141.415_DECp47.407:629,141.4103895541,47.8963624868,0,,,stage_S4S_SHAPE.csv
tile_RA145.381_DECp46.333:1405,145.3381991366,46.5730191464,0,,,stage_S4S_SHAPE.csv
tile_RA145.381_DECp46.333:1596,144.8173282714,46.4559471174,0,,,stage_S4S_SHAPE.csv
tile_RA145.381_DECp46.333:1803,146.0581283175,46.3677185679,1,4.334040,N95M056556,stage_S4S_SHAPE.csv
tile_RA146.856_DECp46.333:1043,146.3453020205,46.2775299348,0,,,stage_S4S_SHAPE.csv
tile_RA146.856_DECp46.333:1688,146.3484892317,46.2831463336,0,,,stage_S4S_SHAPE.csv
tile_RA146.856_DECp49.333:1077,146.8167867256,49.2866313892,0,,,stage_S4S_SHAPE.csv
tile_RA148.332_DECp47.333:76,148.3918785124,46.8678261914,0,,,stage_S4S_SHAPE.csv
