src_id,ra,dec
tile_RA9.466_DECp42.798:1995,9.991164745,42.6398785883
tile_RA9.466_DECp42.798:5532,9.7514578564,42.8364323561
tile_RA9.506_DECp23.800:812,9.8595860198,23.6492096987
tile_RA9.506_DECp23.800:2043,9.3634880139,23.9067146825
tile_RA9.506_DECp24.800:831,9.2798703538,24.6234604997
tile_RA9.506_DECp24.800:927,9.9316189922,24.6571469753
tile_RA9.506_DECp24.800:1167,9.7897007564,25.2243785006
tile_RA9.506_DECp24.800:1333,9.4058957286,25.1199124422
tile_RA9.506_DECp24.800:1520,9.7990130727,24.6922184828
tile_RA9.506_DECp24.800:1561,9.783664851,25.1457495127
tile_RA9.506_DECp24.800:2031,9.7012548116,24.9487575201
tile_RA9.506_DECp24.800:2427,9.1792088012,24.8060665673
tile_RA9.506_DECp24.800:2445,9.3661602224,24.804485813
tile_RA9.506_DECp24.800:2458,9.4405608626,24.7967629738
tile_RA9.506_DECp25.800:36,9.519429595,25.308790981
tile_RA9.506_DECp25.800:2703,9.5799883134,25.8280527446
tile_RA9.683_DECp28.798:907,9.8779395629,28.6445548945
tile_RA9.683_DECp30.798:704,9.4397185142,30.5476741053
tile_RA9.683_DECp32.798:2978,9.9059662779,32.824981115
tile_RA9.828_DECp53.794:3293,10.2134456405,53.5511421888
tile_RA9.828_DECp53.794:6355,10.2117501982,53.7856412572
tile_RA9.828_DECp55.794:2331,9.9983289565,55.5101727464
tile_RA9.845_DECm11.233:308,10.2553892016,-11.4849509612
tile_RA9.845_DECm11.233:572,9.6692708554,-10.772378776
tile_RA9.845_DECm11.233:763,10.1396460153,-11.3021838941
tile_RA9.845_DECm11.233:1028,10.2937056278,-11.0175904008
tile_RA9.845_DECm11.233:1338,9.8543269912,-11.2526712714
tile_RA9.856_DECm5.199:682,9.7819745241,-4.8246705768
tile_RA9.858_DECp0.801:566,10.0501764434,0.6600909707
tile_RA9.858_DECp0.801:737,9.6523167894,1.2383255211
tile_RA9.858_DECp0.801:1003,10.1846758352,1.0093391576
tile_RA9.882_DECp6.801:370,10.2852621334,6.5343284777
tile_RA9.882_DECp6.801:506,9.6875779888,6.6164663618
tile_RA9.929_DECp12.801:445,9.6138002005,12.5463642984
tile_RA90.016_DECp17.985:4609,89.8294053222,17.9814311929
tile_RA90.170_DECp53.042:2914,90.3348939468,52.927802272
tile_RA90.170_DECp54.042:3688,89.3481945463,54.0719133179
tile_RA90.170_DECp54.042:3924,89.9211630582,54.0967390029
tile_RA90.170_DECp55.042:880,89.7438610159,54.675616687
tile_RA90.170_DECp55.042:2115,90.334936658,54.8549972543
tile_RA90.663_DECm11.052:5142,90.7865657367,-11.0624713513
tile_RA90.663_DECm12.052:1401,90.3332151975,-12.3347048525
tile_RA90.766_DECm7.012:3534,91.0100363807,-6.6874550979
tile_RA90.766_DECm7.012:3727,90.8377296956,-6.5309656522
tile_RA90.766_DECm7.012:3834,90.686569309,-6.725984987
tile_RA90.857_DECm0.013:4821,91.1516378905,0.2457571674
tile_RA90.857_DECm0.013:5559,91.1090681124,0.1406011485
tile_RA90.857_DECm1.013:2445,91.1186758701,-1.2253499427
tile_RA90.857_DECm1.013:2817,90.6331440364,-1.1773601364
tile_RA90.857_DECm1.013:4829,90.6988038836,-0.9268746636
tile_RA90.857_DECm1.013:5913,90.5543644258,-0.8560282664
tile_RA90.857_DECp0.987:5154,91.0587984739,1.1103993436
tile_RA90.857_DECp0.987:8279,90.8763772178,1.2286218665
tile_RA90.936_DECp4.986:1115,90.6166343987,4.6253361295
tile_RA90.936_DECp4.986:9885,90.8101284851,5.4000443969
tile_RA90.936_DECp4.986:10046,90.9105955557,5.3899107946
tile_RA90.936_DECp5.986:659,90.7212611079,5.5468112756
