src_id,ra,dec
tile_RA300.066_DECp47.379:2441,299.6779620156,47.0176722013
tile_RA300.449_DECp29.400:9055,300.8106123795,29.3275119927
tile_RA300.774_DECp19.365:8749,301.2677944861,19.2418714483
tile_RA300.854_DECm0.585:10966,300.6460058991,-0.2506346864
tile_RA300.922_DECm4.585:2838,301.1333974567,-4.8348301301
tile_RA300.922_DECm4.585:3553,300.4992048372,-4.7647068327
tile_RA301.227_DECp41.411:15931,300.8164739632,41.5194555892
tile_RA301.227_DECp43.411:6938,300.8339721187,43.2673763686
tile_RA301.640_DECp25.401:4221,301.5009052736,25.1337488989
tile_RA301.651_DECp60.370:3347,302.1344654579,60.1369268407
tile_RA301.651_DECp60.370:3781,301.8873292237,60.1860938057
tile_RA301.651_DECp60.370:4114,302.0490066417,60.2106456919
tile_RA301.651_DECp60.370:4519,301.558709945,60.2633072589
tile_RA301.651_DECp60.370:10446,301.4508361374,60.750820625
tile_RA301.651_DECp60.370:10993,301.4457864247,60.704804532
tile_RA301.755_DECp65.393:7932,301.4353930213,65.6629974052
tile_RA301.755_DECp65.393:8376,302.1128374812,65.6041603626
tile_RA301.755_DECp66.393:4883,302.5723310992,66.6166842747
tile_RA301.755_DECp66.393:5317,302.271738212,66.5540561407
tile_RA301.828_DECp18.365:6118,301.4659575788,18.1053349048
tile_RA301.854_DECm0.585:7338,302.2501805482,-0.3825291795
tile_RA301.854_DECm1.585:79,301.9063248885,-2.0781694328
tile_RA301.854_DECm1.585:1363,301.9213011203,-1.943334305
tile_RA301.854_DECm1.585:4948,302.3089211855,-1.5938327437
tile_RA301.854_DECm1.585:7648,302.040176537,-1.2351650708
tile_RA301.854_DECm1.585:7965,302.0647778098,-1.2623912542
tile_RA301.854_DECp0.415:1044,302.0074425514,0.0074470238
tile_RA301.854_DECp0.415:8500,302.2061430234,0.6610650109
tile_RA301.854_DECp1.415:3152,302.1618899743,1.1701439758
tile_RA301.854_DECp2.415:4352,302.2788655794,2.2125774113
tile_RA301.854_DECp2.415:7846,301.5324430316,2.4551382766
tile_RA301.927_DECm5.585:5683,302.4120461392,-5.6273339797
tile_RA301.927_DECm7.585:5277,302.2208930431,-7.6017390617
tile_RA302.354_DECp37.424:20103,302.5328667366,37.8075960501
tile_RA302.354_DECp38.424:17210,302.2065962113,38.7232907703
tile_RA302.420_DECp77.382:1786,304.162722116,77.2254197644
tile_RA302.420_DECp80.382:2166,303.7249306484,80.7959767076
tile_RA302.420_DECp80.382:3257,301.0965051238,80.6750155635
tile_RA302.495_DECp71.474:625,301.7762614821,71.0801803126
tile_RA302.495_DECp71.474:631,301.7848488702,71.0809222286
