src_id,tile_id,object_id,ra,dec,plate_id
tile_RA0.836_DECm10.207:327,tile_RA0.836_DECm10.207,327,1.1259877406,-10.4678631695,XE704
tile_RA0.836_DECm11.207:1255,tile_RA0.836_DECm11.207,1255,1.309692041,-11.1592296174,XE704
tile_RA0.836_DECm12.207:193,tile_RA0.836_DECm12.207,193,0.4859275225,-12.55773242,XE704
tile_RA0.836_DECm12.207:664,tile_RA0.836_DECm12.207,664,0.7050283853,-11.8033615086,XE704
tile_RA0.836_DECm12.207:1193,tile_RA0.836_DECm12.207,1193,1.1358117122,-12.098299795,XE704
tile_RA0.851_DECm4.193:1339,tile_RA0.851_DECm4.193,1339,0.5020046969,-4.0501355357,XE644
tile_RA0.851_DECm5.193:1422,tile_RA0.851_DECm5.193,1422,1.2125986675,-5.2099096733,XE644
tile_RA0.851_DECm5.193:1435,tile_RA0.851_DECm5.193,1435,0.3541305504,-5.217344624,XE644
tile_RA0.851_DECm6.193:258,tile_RA0.851_DECm6.193,258,0.5236107909,-6.4998339187,XE644
tile_RA0.851_DECm6.193:365,tile_RA0.851_DECm6.193,365,0.7757179547,-6.417242559,XE644
tile_RA0.851_DECm6.193:1129,tile_RA0.851_DECm6.193,1129,1.0897565765,-5.9543541484,XE644
tile_RA0.857_DECp1.807:266,tile_RA0.857_DECp1.807,266,1.1835151157,1.5309518097,XE584
tile_RA1.333_DECp36.807:811,tile_RA1.333_DECp36.807,811,1.7358135571,36.4985622394,XE291
tile_RA1.550_DECp24.807:1731,tile_RA1.550_DECp24.807,1731,1.6934385612,25.047764757,XE403
tile_RA1.596_DECm22.304:197,tile_RA1.596_DECm22.304,197,1.5535886639,-22.69469426,XE825
tile_RA1.596_DECm24.304:517,tile_RA1.596_DECm24.304,517,1.2532849358,-24.5500216779,XE825
tile_RA1.596_DECm24.304:795,tile_RA1.596_DECm24.304,795,2.0541011258,-24.4042494946,XE825
tile_RA1.596_DECm25.304:711,tile_RA1.596_DECm25.304,711,1.214502578,-25.432695201,XE825
tile_RA1.596_DECm25.304:1229,tile_RA1.596_DECm25.304,1229,1.7036751144,-25.1827347157,XE825
tile_RA1.596_DECm25.304:1432,tile_RA1.596_DECm25.304,1432,1.6511120348,-24.8688009534,XE825
tile_RA1.596_DECm25.304:1629,tile_RA1.596_DECm25.304,1629,1.1846171772,-25.0701945169,XE825
tile_RA1.672_DECp30.807:785,tile_RA1.672_DECp30.807,785,1.6730683775,30.5628184599,XE347
tile_RA1.672_DECp30.807:1792,tile_RA1.672_DECp30.807,1792,1.2547915238,30.7308302959,XE347
tile_RA1.672_DECp30.807:2040,tile_RA1.672_DECp30.807,2040,2.0698115226,31.1363715305,XE347
tile_RA1.672_DECp30.807:3101,tile_RA1.672_DECp30.807,3101,2.0885548736,30.7893913783,XE347
tile_RA1.695_DECp64.828:15836,tile_RA1.695_DECp64.828,15836,1.5454105779,65.2606983448,XE050
tile_RA1.695_DECp68.828:3816,tile_RA1.695_DECp68.828,3816,1.385011091,68.637620708,XE050
tile_RA1.695_DECp68.828:4271,tile_RA1.695_DECp68.828,4271,1.74055091,68.7043712742,XE050
tile_RA1.695_DECp68.828:5723,tile_RA1.695_DECp68.828,5723,1.1574182639,68.9360796727,XE050
tile_RA1.695_DECp68.828:7384,tile_RA1.695_DECp68.828,7384,2.3809122715,69.1604004588,XE050
tile_RA1.809_DECp4.791:485,tile_RA1.809_DECp4.791,485,1.986517218,4.6054365143,XE524
tile_RA1.809_DECp4.791:944,tile_RA1.809_DECp4.791,944,1.8541065635,4.7028940362,XE524
tile_RA1.809_DECp6.791:48,tile_RA1.809_DECp6.791,48,1.8229927089,6.3194148882,XE524
tile_RA1.809_DECp6.791:871,tile_RA1.809_DECp6.791,871,2.0801141294,7.1591738003,XE524
tile_RA1.809_DECp6.791:1297,tile_RA1.809_DECp6.791,1297,1.5699869011,6.9215031227,XE524
tile_RA1.809_DECp6.791:1443,tile_RA1.809_DECp6.791,1443,1.5226021599,6.8300636482,XE524
tile_RA1.809_DECp7.791:1165,tile_RA1.809_DECp7.791,1165,1.7515580408,7.9542754326,XE524
tile_RA1.809_DECp8.791:698,tile_RA1.809_DECp8.791,698,2.0241579845,9.1745156064,XE524
tile_RA1.809_DECp8.791:724,tile_RA1.809_DECp8.791,724,1.9274756794,9.1226457215,XE524
tile_RA1.809_DECp8.791:751,tile_RA1.809_DECp8.791,751,1.4422819358,8.9059435161,XE524
tile_RA1.855_DECm10.207:216,tile_RA1.855_DECm10.207,216,1.865546476,-10.5285926571,XE704
tile_RA1.855_DECm11.207:1036,tile_RA1.855_DECm11.207,1036,1.724278904,-11.2530545035,XE704
tile_RA1.855_DECm12.207:722,tile_RA1.855_DECm12.207,722,1.7710606085,-12.2659236021,XE704
tile_RA1.855_DECm13.207:1174,tile_RA1.855_DECm13.207,1174,2.0404981723,-13.1972747754,XE704
tile_RA1.855_DECm13.207:1184,tile_RA1.855_DECm13.207,1184,2.0431581807,-13.195058841,XE704
tile_RA1.856_DECm3.193:1374,tile_RA1.856_DECm3.193,1374,1.8173049382,-3.070874616,XE644
tile_RA1.856_DECm3.193:1600,tile_RA1.856_DECm3.193,1600,2.0102389657,-3.2158760411,XE644
tile_RA1.856_DECm4.193:920,tile_RA1.856_DECm4.193,920,1.7510617897,-4.2635255791,XE644
tile_RA1.856_DECm4.193:1023,tile_RA1.856_DECm4.193,1023,1.6036631724,-4.2536755356,XE644
tile_RA1.856_DECm4.193:1404,tile_RA1.856_DECm4.193,1404,2.0094535813,-4.2352165665,XE644
tile_RA1.856_DECm5.193:278,tile_RA1.856_DECm5.193,278,1.6037907451,-5.5009849032,XE644
tile_RA1.856_DECm5.193:1430,tile_RA1.856_DECm5.193,1430,1.504490907,-5.1754349501,XE644
tile_RA1.856_DECm6.193:513,tile_RA1.856_DECm6.193,513,1.8277540247,-6.3354187858,XE644
tile_RA1.856_DECm6.193:715,tile_RA1.856_DECm6.193,715,1.9005972363,-5.8210184197,XE644
tile_RA1.856_DECm6.193:1065,tile_RA1.856_DECm6.193,1065,1.6389173004,-5.9952320035,XE644
tile_RA1.856_DECm6.193:1123,tile_RA1.856_DECm6.193,1123,2.2988869671,-6.0297038371,XE644
tile_RA1.856_DECm7.193:616,tile_RA1.856_DECm7.193,616,2.3055158841,-7.3093595059,XE644
tile_RA1.856_DECm7.193:854,tile_RA1.856_DECm7.193,854,1.8190926953,-7.2738914486,XE644
tile_RA1.856_DECm7.193:994,tile_RA1.856_DECm7.193,994,1.9310428024,-6.885304501,XE644
tile_RA1.856_DECm7.193:1178,tile_RA1.856_DECm7.193,1178,1.817771304,-7.2490483182,XE644
tile_RA1.856_DECm7.193:1221,tile_RA1.856_DECm7.193,1221,2.1499535531,-7.0451851952,XE644
tile_RA1.856_DECm7.193:1270,tile_RA1.856_DECm7.193,1270,1.9193061473,-7.0623165716,XE644
tile_RA1.856_DECm7.193:1408,tile_RA1.856_DECm7.193,1408,1.4315500011,-7.1500767849,XE644
tile_RA1.856_DECm7.193:1451,tile_RA1.856_DECm7.193,1451,2.2516680393,-7.163388747,XE644
tile_RA1.857_DECm0.193:607,tile_RA1.857_DECm0.193,607,1.8687169222,-0.2608426449,XE584
tile_RA1.857_DECm1.193:780,tile_RA1.857_DECm1.193,780,2.1367388455,-0.8552147071,XE584
tile_RA1.857_DECp0.807:452,tile_RA1.857_DECp0.807,452,1.8128428062,1.2922007735,XE584
tile_RA1.857_DECp0.807:678,tile_RA1.857_DECp0.807,678,2.1114704432,1.1467268212,XE584
tile_RA1.857_DECp0.807:849,tile_RA1.857_DECp0.807,849,1.9382160081,0.9579084814,XE584
tile_RA1.857_DECp1.807:390,tile_RA1.857_DECp1.807,390,2.1006707472,1.6420748965,XE584
tile_RA1.857_DECp1.807:1039,tile_RA1.857_DECp1.807,1039,1.7080474495,1.9022707332,XE584
tile_RA1.857_DECp2.807:637,tile_RA1.857_DECp2.807,637,2.1105448988,3.2114689653,XE584
tile_RA1.857_DECp2.807:1061,tile_RA1.857_DECp2.807,1061,2.0330347406,2.9540607197,XE584
tile_RA1.857_DECp2.807:1205,tile_RA1.857_DECp2.807,1205,2.0174559606,2.8316285615,XE584
tile_RA1.860_DECp11.807:926,tile_RA1.860_DECp11.807,926,1.6859042197,12.0899855862,XE464
tile_RA1.860_DECp11.807:951,tile_RA1.860_DECp11.807,951,2.0980494848,12.0224276501,XE464
tile_RA1.860_DECp11.807:1183,tile_RA1.860_DECp11.807,1183,1.5585931363,11.8932004327,XE464
tile_RA1.860_DECp14.807:1314,tile_RA1.860_DECp14.807,1314,2.0787850354,14.8447704014,XE464
tile_RA1.861_DECp16.807:1198,tile_RA1.861_DECp16.807,1198,1.7528325162,16.7219135351,XE404
tile_RA1.861_DECp16.807:1744,tile_RA1.861_DECp16.807,1744,2.2342296618,16.7713843267,XE404
tile_RA1.861_DECp16.807:2000,tile_RA1.861_DECp16.807,2000,1.6723246578,16.7903636304,XE404
tile_RA1.861_DECp17.807:1065,tile_RA1.861_DECp17.807,1065,1.9449981204,17.9332220082,XE404
tile_RA1.861_DECp18.807:417,tile_RA1.861_DECp18.807,417,1.7215724449,18.5090413907,XE404
tile_RA1.861_DECp18.807:794,tile_RA1.861_DECp18.807,794,1.4977312294,18.6742124365,XE404
tile_RA1.861_DECp19.807:1002,tile_RA1.861_DECp19.807,1002,1.6295465003,20.2314803814,XE404
tile_RA1.861_DECp48.807:2393,tile_RA1.861_DECp48.807,2393,1.7222173532,48.5543755336,XE191
tile_RA1.863_DECp22.807:869,tile_RA1.863_DECp22.807,869,1.7998081203,23.2605378071,XE348
tile_RA1.863_DECp22.807:1213,tile_RA1.863_DECp22.807,1213,1.962996774,23.1569567291,XE348
tile_RA1.863_DECp22.807:1850,tile_RA1.863_DECp22.807,1850,1.4257760216,22.8359219835,XE348
tile_RA1.863_DECp23.807:1496,tile_RA1.863_DECp23.807,1496,2.2978805742,24.0258760178,XE348
tile_RA1.863_DECp24.807:1762,tile_RA1.863_DECp24.807,1762,1.6934362974,25.0477687922,XE348
tile_RA1.863_DECp25.807:1477,tile_RA1.863_DECp25.807,1477,2.1293476557,25.7149691504,XE348
tile_RA1.863_DECp25.807:1890,tile_RA1.863_DECp25.807,1890,1.623576428,26.0190933613,XE348
tile_RA1.863_DECp26.807:1356,tile_RA1.863_DECp26.807,1356,2.1391684741,27.2064676054,XE348
tile_RA1.863_DECp26.807:2340,tile_RA1.863_DECp26.807,2340,1.8750608106,26.8823600119,XE348
tile_RA1.865_DECp28.807:1028,tile_RA1.865_DECp28.807,1028,1.7599147473,28.6537802992,XE292
tile_RA1.865_DECp28.807:2060,tile_RA1.865_DECp28.807,2060,2.2286792787,29.0927224067,XE292
tile_RA1.865_DECp29.807:1883,tile_RA1.865_DECp29.807,1883,1.5122146906,30.1289829851,XE292
