tile_id,tile_path,plate_id,rows_in_tile_filtered_csv,rows_emitted_to_S0,skipped_delta,notes
tile_RA1.695_DECp66.828,data/tiles/tile_RA1.695_DECp66.828,XE050,0,0,0,missing survivors csv
tile_RA1.695_DECp67.828,data/tiles/tile_RA1.695_DECp67.828,XE050,0,0,0,missing survivors csv
tile_RA1.695_DECp68.828,data/tiles/tile_RA1.695_DECp68.828,XE050,4,4,0,
tile_RA1.809_DECp4.791,data/tiles/tile_RA1.809_DECp4.791,XE524,2,2,0,
tile_RA1.809_DECp5.791,data/tiles/tile_RA1.809_DECp5.791,XE524,0,0,0,missing survivors csv
tile_RA1.809_DECp6.791,data/tiles/tile_RA1.809_DECp6.791,XE524,4,4,0,
tile_RA1.809_DECp7.791,data/tiles/tile_RA1.809_DECp7.791,XE524,1,1,0,
tile_RA1.809_DECp8.791,data/tiles/tile_RA1.809_DECp8.791,XE524,3,3,0,
tile_RA1.855_DECm10.207,data/tiles/tile_RA1.855_DECm10.207,XE704,1,1,0,
tile_RA1.855_DECm11.207,data/tiles/tile_RA1.855_DECm11.207,XE704,1,1,0,
tile_RA1.855_DECm12.207,data/tiles/tile_RA1.855_DECm12.207,XE704,1,1,0,
tile_RA1.855_DECm13.207,data/tiles/tile_RA1.855_DECm13.207,XE704,2,2,0,
tile_RA1.855_DECm9.207,data/tiles/tile_RA1.855_DECm9.207,XE704,0,0,0,missing survivors csv
tile_RA1.856_DECm3.193,data/tiles/tile_RA1.856_DECm3.193,XE644,2,2,0,
tile_RA1.856_DECm4.193,data/tiles/tile_RA1.856_DECm4.193,XE644,3,3,0,
tile_RA1.856_DECm5.193,data/tiles/tile_RA1.856_DECm5.193,XE644,2,2,0,
tile_RA1.856_DECm6.193,data/tiles/tile_RA1.856_DECm6.193,XE644,4,4,0,
tile_RA1.856_DECm7.193,data/tiles/tile_RA1.856_DECm7.193,XE644,8,8,0,
tile_RA1.857_DECm0.193,data/tiles/tile_RA1.857_DECm0.193,XE584,1,1,0,
tile_RA1.857_DECm1.193,data/tiles/tile_RA1.857_DECm1.193,XE584,1,1,0,
