tile_id,plate_id,run_id,rows_to_S0
tile_RA102.227_DECp59.851,XE087,R1,2
tile_RA102.227_DECp60.851,XE087,R1,3
tile_RA102.227_DECp61.851,XE087,R1,2
tile_RA102.414_DECp76.932,XE016,R1,1
tile_RA102.414_DECp77.932,XE016,R1,2
tile_RA102.414_DECp79.932,XE016,R1,2
tile_RA102.717_DECp65.780,XE058,R1,1
tile_RA102.760_DECp41.877,XE205,R1,1
tile_RA102.767_DECm5.180,XE661,R1,1
tile_RA102.767_DECm6.180,XE661,R1,1
tile_RA102.767_DECm7.180,XE661,R1,1
tile_RA102.902_DECp35.871,XE254,R1,2
tile_RA102.972_DECp83.636,XE005,R1,2
tile_RA102.972_DECp84.636,XE005,R1,1
tile_RA103.050_DECp71.803,XE034,R1,1
tile_RA103.050_DECp72.803,XE034,R1,2
tile_RA103.061_DECp16.818,XE421,R1,1
tile_RA103.061_DECp17.818,XE421,R1,3
tile_RA103.237_DECp47.813,XE161,R1,1
tile_RA103.237_DECp48.813,XE161,R1,2
tile_RA103.773_DECm5.180,XE661,R1,2
tile_RA103.773_DECm6.180,XE661,R1,1
tile_RA103.773_DECm7.180,XE661,R1,1
tile_RA103.773_DECm8.180,XE661,R1,1
tile_RA103.856_DECm0.181,XE601,R1,1
tile_RA103.856_DECm2.181,XE601,R1,1
tile_RA103.856_DECp0.819,XE601,R1,2
tile_RA103.856_DECp1.819,XE601,R1,1
tile_RA104.000_DECp29.789,XE308,R1,1
tile_RA104.023_DECp11.818,XE481,R1,1
tile_RA104.023_DECp9.818,XE481,R1,1
tile_RA104.111_DECp16.818,XE421,R1,1
tile_RA104.115_DECp85.144,XE004,R1,5
tile_RA104.218_DECp59.851,XE087,R1,3
tile_RA104.218_DECp60.851,XE087,R1,3
tile_RA104.726_DECp45.813,XE161,R1,3
tile_RA104.726_DECp47.813,XE161,R1,2
tile_RA104.779_DECm6.180,XE661,R1,1
tile_RA104.832_DECp41.731,XE206,R1,2
tile_RA104.856_DECm0.181,XE601,R1,1
tile_RA104.953_DECp35.775,XE255,R1,2
tile_RA104.988_DECp2.705,XE541,R1,1
tile_RA105.044_DECp10.818,XE481,R1,1
tile_RA105.044_DECp11.818,XE481,R1,1
tile_RA105.153_DECp28.789,XE308,R1,1
tile_RA105.153_DECp29.789,XE308,R1,4
tile_RA105.155_DECp64.780,XE058,R1,5
tile_RA105.155_DECp65.780,XE058,R1,2
tile_RA105.728_DECp52.778,XE122,R1,2
tile_RA105.728_DECp53.778,XE122,R1,1
tile_RA105.785_DECm6.180,XE661,R1,1
tile_RA105.990_DECp1.705,XE541,R1,1
tile_RA105.990_DECp2.705,XE541,R1,2
tile_RA105.990_DECp3.705,XE541,R1,2
tile_RA106.172_DECp40.731,XE206,R1,2
tile_RA106.172_DECp41.731,XE206,R1,1
tile_RA106.172_DECp42.731,XE206,R1,1
tile_RA106.185_DECp34.775,XE255,R1,1
tile_RA106.185_DECp36.775,XE255,R1,1
tile_RA106.202_DECp21.790,XE364,R1,2
tile_RA106.202_DECp23.790,XE364,R1,1
